fid,gbifID,occurrenceID,order,family,genus,species
700,4676128505,URN:catalog:CLO:EBIRD:OBS1597543440,Columbiformes,Columbidae,Geopelia,Geopelia striata
701,3239460025,URN:catalog:CLO:EBIRD:OBS862813318,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
702,3141468822,URN:catalog:CLO:EBIRD:OBS870451558,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
703,3655697593,URN:catalog:CLO:EBIRD:OBS1082880918,Passeriformes,Zosteropidae,Zosterops,Zosterops meyeni
704,3672632813,URN:catalog:CLO:EBIRD:OBS1094481640,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
705,3644763524,URN:catalog:CLO:EBIRD:OBS1278134618,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
706,4186128958,URN:catalog:CLO:EBIRD:OBS1320625192,Gruiformes,Rallidae,Amaurornis,Amaurornis phoenicurus
707,4330697328,URN:catalog:CLO:EBIRD:OBS1324149698,Piciformes,Picidae,Yungipicus,Yungipicus maculatus
708,5451752404,URN:catalog:CLO:EBIRD:OBS2220359430,Passeriformes,Zosteropidae,Zosterops,Zosterops meyeni
709,3235064992,URN:catalog:CLO:EBIRD:OBS922352521,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
710,4695451919,URN:catalog:CLO:EBIRD:OBS1609959365,Passeriformes,Nectariniidae,Cinnyris,Cinnyris jugularis
711,3599375816,URN:catalog:CLO:EBIRD:OBS1192335777,Passeriformes,Passeridae,Passer,Passer montanus
712,3552973893,URN:catalog:CLO:EBIRD:OBS1224434991,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
713,3647842736,URN:catalog:CLO:EBIRD:OBS1140362941,Passeriformes,Pycnonotidae,Pycnonotus,Pycnonotus goiavier
714,4248242272,URN:catalog:CLO:EBIRD:OBS1339265336,Passeriformes,Dicaeidae,Dicaeum,Dicaeum australe
715,5620175235,URN:catalog:CLO:EBIRD:OBS1956775079,Pelecaniformes,Ardeidae,Egretta,Egretta garzetta
716,4322576158,URN:catalog:CLO:EBIRD:OBS1509740665,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax nycticorax
717,3172133574,URN:catalog:CLO:EBIRD:OBS915653924,Columbiformes,Columbidae,Spilopelia,Spilopelia chinensis
718,3581029605,URN:catalog:CLO:EBIRD:OBS1237382187,Passeriformes,Acanthizidae,Gerygone,Gerygone sulphurea
719,4220372888,URN:catalog:CLO:EBIRD:OBS1357358296,Piciformes,Megalaimidae,Psilopogon,Psilopogon haemacephalus
720,3637444765,URN:catalog:CLO:EBIRD:OBS1079353642,Passeriformes,Passeridae,Passer,Passer montanus
721,3177814792,URN:catalog:CLO:EBIRD:OBS917191083,Passeriformes,Sturnidae,Aplonis,Aplonis panayensis
722,3592106257,URN:catalog:CLO:EBIRD:OBS1116028574,Passeriformes,Oriolidae,Oriolus,Oriolus chinensis
723,3655157661,URN:catalog:CLO:EBIRD:OBS1267078229,Psittaciformes,Psittacidae,Loriculus,Loriculus philippensis
724,4707753618,URN:catalog:CLO:EBIRD:OBS1630537591,Passeriformes,Rhipiduridae,Rhipidura,Rhipidura nigritorquis
725,4331479489,URN:catalog:CLO:EBIRD:OBS1477838896,Columbiformes,Columbidae,Geopelia,Geopelia striata
727,3592417132,URN:catalog:CLO:EBIRD:OBS1119129881,Passeriformes,Laniidae,Lanius,Lanius cristatus
728,3534263328,URN:catalog:CLO:EBIRD:OBS1149758248,Passeriformes,Laniidae,Lanius,Lanius cristatus
